鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮市鎮國街121~150號,86.0,住,,,1070517,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0660919,188.04,3,2,3,有,無,8000000,42544,,0.0,0,,RPRNMLKLOHNFFAU86CA
萬榮鄉,土地,悅付南段1021~1050地號,374.12,,一般農業區,農牧用地,1070517,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,1604,,0.0,0,,RPQNMLLLOHNFFBU17EA
玉里鎮,房地(土地+建物),花蓮縣玉里鎮忠孝路31~60號,95.0,住,,,1070312,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,,108.0,5,1,1,有,無,633655,5867,,0.0,0,,RPQNMLSLNHNFFCU87EA
新城鄉,房地(土地+建物),花蓮縣新城鄉康樂村23鄰大行街1~30號,88.59,,鄉村區,乙種建築用地,1070510,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700409,95.0,3,2,2,有,無,3200000,33684,,0.0,0,,RPTNMLPKOHNFFAU47CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里三街1~30號,152.4,住,,,1070511,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060203,231.89,5,2,5,有,無,13390000,57743,,0.0,0,,RPTOMLOKOHNFFAU47CA
花蓮市,房地(土地+建物),花蓮縣花蓮市德安一街201巷1~30號,98.0,住,,,1070423,土地3建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0621105,97.32,3,2,2,有,無,4000000,41102,,0.0,0,,RPUOMLOKOHNFFAU57CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街31~60號,2.5,商,,,1070510,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,26.54,1,0,1,有,有,1350000,50867,,0.0,0,,RPVOMLOKOHNFFAU67CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國興五街61~90號,183.0,住,,,1070412,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0770414,219.03,4,2,3,有,無,12000000,54787,,0.0,0,,RPSNMLLKOHNFFAU96CA
秀林鄉,土地,上崇德段871~900地號,104.72,住,,,1070516,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,3342,,0.0,0,1.親友間之交易。,RPPNMLNKOHNFFAU86CA
吉安鄉,土地,光英段781~810地號,1082.03,,一般農業區,農牧用地,1070301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2102819,1943,,0.0,0,,RPXNMLQJOHNFFAU87CA
