鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
西屯區,房地(土地+建物)+車位,臺中市西屯區上安路173巷1~30號,13.74,商,,,1070424,土地1建物1車位1,一層，騎樓,八層,店面(店鋪),商業用,鋼筋混凝土造,0840526,90.98,1,0,1,有,有,7200000,79130,升降機械,0.0,0,平台外推,RPTPMLLJOHNFFCB08CA
南屯區,房地(土地+建物)+車位,臺中市南屯區南屯路二段481~510號,18.84,住,,,1070427,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,見其他登記事項,0931001,153.0,3,2,2,有,有,9500000,64048,坡道平面,23.41,1200000,,RPSQMLOJOHNFFCB38CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路151~180號,13.63,住,,,1070505,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960426,123.75,2,2,1,有,有,7800000,67831,坡道平面,26.45,1200000,,RPRPMLOJOHNFFCB18CA
西屯區,房地(土地+建物),臺中市西屯區永昌三街31~60號,174.84,住,,,1070105,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0720609,172.04,4,2,3,有,無,18500000,107533,,0.0,0,,RPVNMLLJOHNFFCB08CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大進街541~570號,18.55,住,,,1070416,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811007,140.17,4,2,2,有,有,7250000,51723,升降機械,0.0,0,,RPROMLLMNHNFFCB97CA
西屯區,房地(土地+建物)+車位,臺中市西屯區青海路二段211~240號,11.53,商,,,1070416,土地1建物1車位1,二十一層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060731,122.93,2,2,1,有,有,11780000,95827,坡道平面,32.4,0,,RPXOMLLMNHNFFCB58CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路121~150號,9.84,住,,,1070505,土地1建物1車位1,十五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,120.45,2,2,1,有,有,9460000,84140,坡道平面,22.28,1200000,,RPPOMLLMNHNFFCB77CA
西屯區,房地(土地+建物)+車位,臺中市西屯區天水西五街1~30號,25.23,住,,,1070425,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010523,156.19,3,2,2,有,有,11700000,74909,坡道平面,26.22,0,,RPPRMLLMNHNFFCB08CA
西屯區,房地(土地+建物),臺中市西屯區永福路121~150號,13.63,住,,,1070426,土地1建物1車位0,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850527,112.92,3,2,2,有,有,6660000,58980,,0.0,0,,RPQRMLLMNHNFFCB18CA
北屯區,房地(土地+建物),臺中市北屯區崇德七路91~120號,13.44,住,,,1070414,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821110,92.75999999999999,3,2,3,有,有,3850000,41505,,0.0,0,,RPTPMLLLOHNFFBB18CA
